,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
34626,-37.388,149.274,335.1,2.0,1.4,2020-01-30,1225,Terra,MODIS,100,6.0NRT,297.0,92.9,N
18235,-36.393,149.545,316.4,1.0,1.0,2020-01-04,1505,Aqua,MODIS,93,6.0NRT,286.0,15.3,N
2772,-35.14,150.566,322.0,1.1,1.0,2020-01-01,1255,Terra,MODIS,100,6.0NRT,290.4,22.2,N
34749,-36.789,149.381,311.3,2.1,1.4,2020-01-30,1540,Aqua,MODIS,82,6.0NRT,291.5,33.5,N
27117,-36.742,146.707,316.7,2.3,1.5,2020-01-12,1555,Aqua,MODIS,94,6.0NRT,288.5,52.5,N
13407,-36.937,146.854,377.8,1.1,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,320.5,142.2,D
1317,-14.659,132.149,338.4,1.9,1.3,2020-01-01,515,Aqua,MODIS,84,6.0NRT,302.2,57.2,D
33458,-35.991,149.321,336.1,1.0,1.0,2020-01-29,355,Aqua,MODIS,67,6.0NRT,318.0,17.9,D
13688,-36.441,149.633,369.6,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,314.3,97.6,D
3630,-35.759,136.692,310.4,1.1,1.1,2020-01-01,1615,Aqua,MODIS,80,6.0NRT,287.4,14.3,N
545,-34.295,149.976,365.4,1.7,1.3,2020-01-01,330,Aqua,MODIS,100,6.0NRT,297.2,199.3,D
11269,-32.734,150.1,348.2,1.5,1.2,2020-01-03,2345,Terra,MODIS,91,6.0NRT,310.9,70.9,D
10642,-37.016,147.389,310.4,1.4,1.2,2020-01-03,1245,Terra,MODIS,80,6.0NRT,292.4,16.3,N
8664,-29.422,152.146,347.0,1.7,1.3,2020-01-03,320,Aqua,MODIS,90,6.0NRT,302.4,96.0,D
19375,-37.431,149.688,346.3,1.0,1.0,2020-01-04,1505,Aqua,MODIS,90,6.0NRT,291.5,50.6,N
25610,-36.272,147.959,326.2,1.0,1.0,2020-01-11,410,Aqua,MODIS,65,6.0NRT,307.7,12.8,D
31854,-37.376,149.309,355.3,1.6,1.3,2020-01-24,335,Aqua,MODIS,98,6.0NRT,292.9,141.4,D
26264,-36.35,148.039,318.7,1.0,1.0,2020-01-11,1510,Aqua,MODIS,97,6.0NRT,287.4,17.8,N
15774,-34.795,150.375,434.4,1.1,1.0,2020-01-04,405,Aqua,MODIS,94,6.0NRT,314.9,561.8,D
10475,-37.358,148.102,303.6,1.3,1.1,2020-01-03,1245,Terra,MODIS,56,6.0NRT,292.0,9.2,N
7764,-37.715,148.995,326.7,1.0,1.0,2020-01-02,1520,Aqua,MODIS,100,6.0NRT,289.8,25.7,N
8567,-35.853,147.652,333.0,3.9,1.8,2020-01-03,320,Aqua,MODIS,82,6.0NRT,305.7,169.0,D
7794,-37.577,147.549,345.0,1.0,1.0,2020-01-02,1520,Aqua,MODIS,100,6.0NRT,292.4,51.6,N
26776,-36.544,148.09,319.2,1.5,1.2,2020-01-12,1240,Terra,MODIS,52,6.0NRT,288.1,31.2,N
16426,-37.649,148.713,313.0,1.9,1.3,2020-01-04,1325,Terra,MODIS,71,6.0NRT,279.1,31.5,N
32650,-36.889,149.478,329.0,1.1,1.1,2020-01-26,2355,Terra,MODIS,59,6.0NRT,297.1,24.8,D
28245,-37.301,149.125,339.2,1.0,1.0,2020-01-13,355,Aqua,MODIS,81,6.0NRT,298.9,32.2,D
25618,-35.989,149.471,332.8,1.1,1.0,2020-01-11,410,Aqua,MODIS,58,6.0NRT,310.2,18.0,D
338,-35.927,147.53,389.3,2.5,1.5,2020-01-01,330,Aqua,MODIS,100,6.0NRT,305.9,700.9,D
13936,-36.475,148.003,333.6,1.0,1.0,2020-01-04,400,Aqua,MODIS,69,6.0NRT,303.9,24.2,D
30398,-37.054,149.593,326.1,1.3,1.1,2020-01-15,345,Aqua,MODIS,81,6.0NRT,299.1,21.3,D
26863,-37.744,149.229,345.3,1.4,1.2,2020-01-12,1240,Terra,MODIS,100,6.0NRT,288.8,85.6,N
6151,-32.306,123.44,355.9,1.3,1.1,2020-01-02,555,Aqua,MODIS,97,6.0NRT,322.2,53.0,D
18566,-37.133,149.434,384.6,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,273.4,0.0,N
364,-35.885,147.634,363.0,2.5,1.5,2020-01-01,330,Aqua,MODIS,100,6.0NRT,300.9,315.5,D
32772,-35.719,149.807,357.7,1.1,1.1,2020-01-27,410,Aqua,MODIS,98,6.0NRT,306.0,78.6,D
18410,-37.135,149.795,405.1,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,304.7,0.0,N
9907,-32.669,150.155,311.8,1.0,1.0,2020-01-03,1245,Terra,MODIS,79,6.0NRT,299.0,6.9,N
21253,-35.69,137.123,312.0,1.9,1.3,2020-01-06,1315,Terra,MODIS,84,6.0NRT,286.0,33.6,N
9157,-35.977,136.781,404.8,1.1,1.0,2020-01-03,500,Aqua,MODIS,100,6.0NRT,307.8,0.0,D
14433,-35.967,149.358,414.1,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,329.6,329.3,D
17543,-32.011,151.436,315.6,1.0,1.0,2020-01-04,1505,Aqua,MODIS,90,6.0NRT,294.7,12.4,N
8117,-35.753,136.693,334.4,1.2,1.1,2020-01-03,40,Terra,MODIS,53,6.0NRT,312.8,19.2,D
19194,-37.313,149.221,349.2,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,291.3,63.3,N
33346,-32.93,124.297,348.6,2.1,1.4,2020-01-29,120,Terra,MODIS,92,6.0NRT,316.0,117.7,D
11055,-37.084,147.048,322.4,3.0,1.7,2020-01-03,1600,Aqua,MODIS,66,6.0NRT,293.3,81.2,N
23958,-35.943,137.174,326.4,4.2,1.9,2020-01-09,145,Terra,MODIS,62,6.0NRT,308.9,77.2,D
7335,-35.913,148.392,304.8,1.0,1.0,2020-01-02,1515,Aqua,MODIS,62,6.0NRT,285.4,8.5,N
14327,-35.977,149.657,337.2,1.0,1.0,2020-01-04,400,Aqua,MODIS,83,6.0NRT,312.7,23.8,D
30025,-26.479,150.777,344.8,1.2,1.1,2020-01-14,1230,Terra,MODIS,100,6.0NRT,296.8,65.2,N
22171,-32.654,122.015,368.9,1.9,1.3,2020-01-07,615,Aqua,MODIS,100,6.0NRT,321.5,219.6,D
21941,-18.203,144.072,337.7,2.6,1.5,2020-01-07,440,Aqua,MODIS,84,6.0NRT,302.9,81.5,D
21,-14.475,143.591,321.7,1.0,1.0,2020-01-01,50,Terra,MODIS,57,6.0NRT,299.0,7.6,D
24779,-20.466,148.278,326.8,1.8,1.3,2020-01-10,330,Aqua,MODIS,64,6.0NRT,297.7,35.1,D
20279,-25.442,149.165,314.2,1.2,1.1,2020-01-05,1235,Terra,MODIS,87,6.0NRT,298.6,12.7,N
34225,-37.503,148.084,335.1,2.2,1.4,2020-01-30,440,Aqua,MODIS,82,6.0NRT,310.6,62.2,D
1350,-35.015,150.498,323.9,1.1,1.0,2020-01-01,1255,Terra,MODIS,100,6.0NRT,289.1,25.4,N
15016,-35.833,148.644,335.3,1.0,1.0,2020-01-04,400,Aqua,MODIS,75,6.0NRT,299.1,26.6,D
26021,-32.677,122.129,377.4,1.0,1.0,2020-01-11,550,Aqua,MODIS,100,6.0NRT,322.3,121.5,D
26215,-35.949,148.912,304.7,1.0,1.0,2020-01-11,1510,Aqua,MODIS,61,6.0NRT,281.6,10.1,N
13243,-36.993,147.42,363.4,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,317.1,83.3,D
17402,-30.426,151.036,326.4,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,297.7,24.5,N
11256,-32.658,150.127,331.5,1.5,1.2,2020-01-03,2345,Terra,MODIS,60,6.0NRT,310.6,23.8,D
32222,-36.496,149.488,308.4,1.2,1.1,2020-01-25,1525,Aqua,MODIS,74,6.0NRT,288.6,13.9,N
17645,-32.604,150.69,331.0,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,299.1,27.4,N
2108,-37.43,148.513,320.1,1.0,1.0,2020-01-01,1255,Terra,MODIS,100,6.0NRT,286.5,18.9,N
12447,-37.411,149.619,358.2,1.0,1.0,2020-01-04,400,Aqua,MODIS,77,6.0NRT,281.1,70.4,D
11091,-37.565,147.53,358.8,1.7,1.3,2020-01-03,2345,Terra,MODIS,99,6.0NRT,311.3,148.8,D
14568,-36.009,148.443,382.1,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,301.8,0.0,D
29059,-37.335,149.47,317.6,1.1,1.1,2020-01-13,1500,Aqua,MODIS,95,6.0NRT,290.0,17.6,N
28758,-37.392,147.473,304.1,1.3,1.2,2020-01-13,1320,Terra,MODIS,58,6.0NRT,287.7,10.1,N
16085,-31.507,151.236,440.9,1.3,1.1,2020-01-04,405,Aqua,MODIS,100,6.0NRT,321.1,846.8,D
3152,-31.818,121.479,313.2,1.0,1.0,2020-01-01,1435,Terra,MODIS,84,6.0NRT,300.1,8.3,N
24919,-25.148,152.254,324.9,1.5,1.2,2020-01-10,1255,Terra,MODIS,100,6.0NRT,285.1,46.3,N
13182,-37.028,147.423,375.9,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,320.9,124.3,D
793,-20.709,148.69,341.9,1.3,1.1,2020-01-01,335,Aqua,MODIS,87,6.0NRT,304.3,54.7,D
13940,-36.509,147.753,393.3,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,332.9,206.9,D
3603,-28.003,131.471,309.7,1.5,1.2,2020-01-01,1610,Aqua,MODIS,78,6.0NRT,294.8,16.2,N
446,-34.987,150.552,322.9,1.6,1.2,2020-01-01,330,Aqua,MODIS,60,6.0NRT,294.4,27.3,D
22023,-32.76,124.1,358.6,2.6,1.5,2020-01-07,615,Aqua,MODIS,99,6.0NRT,318.7,227.3,D
32047,-30.85,146.126,342.9,1.5,1.2,2020-01-25,5,Terra,MODIS,87,6.0NRT,308.6,54.6,D
8849,-33.284,136.913,342.4,1.2,1.1,2020-01-03,500,Aqua,MODIS,54,6.0NRT,326.2,15.3,D
28014,-35.94,149.485,332.7,1.0,1.0,2020-01-13,355,Aqua,MODIS,81,6.0NRT,301.8,22.6,D
11817,-37.048,148.158,390.8,1.6,1.2,2020-01-03,2345,Terra,MODIS,100,6.0NRT,310.5,362.5,D
7304,-35.769,148.03,306.2,1.0,1.0,2020-01-02,1515,Aqua,MODIS,64,6.0NRT,289.4,8.2,N
19672,-37.702,149.128,352.4,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,291.4,69.1,N
13248,-37.008,147.303,381.7,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,313.4,154.2,D
2616,-35.884,148.133,317.0,1.0,1.0,2020-01-01,1255,Terra,MODIS,84,6.0NRT,291.5,15.0,N
1919,-37.556,148.659,334.8,1.0,1.0,2020-01-01,1255,Terra,MODIS,100,6.0NRT,290.5,32.4,N
22458,-32.656,122.0,311.5,3.4,1.7,2020-01-07,1400,Terra,MODIS,75,6.0NRT,296.4,35.4,N
9016,-35.82,136.668,380.4,1.1,1.0,2020-01-03,500,Aqua,MODIS,100,6.0NRT,319.1,141.2,D
4485,-34.292,149.953,411.6,1.4,1.2,2020-01-02,415,Aqua,MODIS,100,6.0NRT,308.9,547.8,D
7564,-37.562,149.222,309.4,1.1,1.0,2020-01-02,1520,Aqua,MODIS,77,6.0NRT,286.4,11.4,N
18383,-37.118,149.752,431.1,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,294.5,503.7,N
1449,-32.606,150.242,323.8,1.1,1.1,2020-01-01,1255,Terra,MODIS,100,6.0NRT,292.9,21.9,N
26949,-37.318,149.793,318.7,1.3,1.1,2020-01-12,1240,Terra,MODIS,97,6.0NRT,285.8,25.7,N
5980,-32.406,123.584,339.2,1.3,1.1,2020-01-02,555,Aqua,MODIS,57,6.0NRT,311.7,27.6,D
32828,-32.716,122.157,426.5,1.0,1.0,2020-01-27,550,Aqua,MODIS,98,6.0NRT,340.8,396.0,D
20078,-19.775,143.699,341.6,3.8,1.8,2020-01-05,450,Aqua,MODIS,84,6.0NRT,306.4,213.2,D
27801,-37.081,149.402,325.9,1.0,1.0,2020-01-13,355,Aqua,MODIS,61,6.0NRT,295.6,18.4,D
19000,-37.338,149.8,373.5,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,293.5,0.0,N
24365,-35.748,137.385,368.8,1.0,1.0,2020-01-09,1345,Terra,MODIS,100,6.0NRT,268.1,0.0,N
20280,-25.426,149.211,331.4,1.2,1.1,2020-01-05,1235,Terra,MODIS,100,6.0NRT,299.7,34.3,N
7888,-36.907,146.773,307.9,1.0,1.0,2020-01-02,1520,Aqua,MODIS,71,6.0NRT,288.9,8.9,N
21074,-32.618,122.299,373.8,1.3,1.1,2020-01-06,530,Aqua,MODIS,100,6.0NRT,322.9,157.7,D
9028,-35.816,136.631,375.6,1.1,1.0,2020-01-03,500,Aqua,MODIS,100,6.0NRT,318.1,124.8,D
12796,-37.075,148.244,361.2,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,310.4,80.0,D
30997,-18.441,145.387,314.6,1.0,1.0,2020-01-17,1300,Terra,MODIS,88,6.0NRT,295.9,10.8,N
225,-31.83,121.523,346.0,2.3,1.5,2020-01-01,230,Terra,MODIS,90,6.0NRT,311.3,129.5,D
12298,-37.437,147.537,321.5,1.7,1.3,2020-01-03,2345,Terra,MODIS,59,6.0NRT,307.3,15.0,D
9186,-35.971,136.725,406.7,1.1,1.0,2020-01-03,500,Aqua,MODIS,100,6.0NRT,325.3,0.0,D
11417,-35.306,150.046,343.8,1.3,1.1,2020-01-03,2345,Terra,MODIS,87,6.0NRT,314.2,48.5,D
16308,-34.693,150.212,340.2,2.8,1.6,2020-01-04,1325,Terra,MODIS,100,6.0NRT,288.5,186.9,N
10474,-37.286,148.742,320.3,1.2,1.1,2020-01-03,1245,Terra,MODIS,100,6.0NRT,295.2,22.8,N
12658,-37.182,148.133,374.4,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,303.4,125.1,D
33535,-35.648,148.954,353.3,1.0,1.0,2020-01-29,355,Aqua,MODIS,96,6.0NRT,301.4,58.5,D
33403,-36.761,149.404,332.1,1.0,1.0,2020-01-29,355,Aqua,MODIS,80,6.0NRT,300.8,23.3,D
13872,-36.485,148.185,352.5,1.0,1.0,2020-01-04,400,Aqua,MODIS,96,6.0NRT,305.4,60.9,D
2704,-35.736,148.273,317.1,1.0,1.0,2020-01-01,1255,Terra,MODIS,55,6.0NRT,285.6,15.7,N
22412,-32.787,123.993,321.3,2.5,1.5,2020-01-07,1400,Terra,MODIS,100,6.0NRT,295.7,64.4,N
31609,-32.002,149.074,322.9,1.8,1.3,2020-01-22,1450,Aqua,MODIS,100,6.0NRT,297.4,45.1,N
13312,-37.0,146.921,391.0,1.1,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,296.2,208.5,D
29216,-37.727,149.106,355.7,1.1,1.1,2020-01-13,1500,Aqua,MODIS,100,6.0NRT,297.5,90.2,N
17789,-33.848,150.443,343.5,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,290.3,49.4,N
18005,-34.69,150.336,359.4,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,290.8,82.4,N
12070,-37.466,149.163,351.6,1.4,1.2,2020-01-03,2345,Terra,MODIS,95,6.0NRT,311.2,84.5,D
34791,-37.252,149.075,351.5,2.1,1.4,2020-01-30,1540,Aqua,MODIS,100,6.0NRT,299.4,184.1,N
3726,-36.065,149.79,328.2,1.0,1.0,2020-01-02,0,Terra,MODIS,82,6.0NRT,294.7,23.8,D
19876,-30.451,151.339,362.1,1.9,1.3,2020-01-05,30,Terra,MODIS,100,6.0NRT,309.1,184.4,D
33554,-35.613,148.866,372.8,1.0,1.0,2020-01-29,355,Aqua,MODIS,94,6.0NRT,298.9,118.6,D
12623,-37.158,148.427,492.4,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,308.6,1433.8,D
28962,-37.243,150.023,419.5,1.1,1.0,2020-01-13,1500,Aqua,MODIS,100,6.0NRT,308.3,438.2,N
24361,-35.693,137.389,356.9,1.0,1.0,2020-01-09,1345,Terra,MODIS,100,6.0NRT,269.3,0.0,N
32283,-36.201,149.41,323.1,3.4,1.7,2020-01-26,50,Terra,MODIS,66,6.0NRT,306.4,55.8,D
33054,-32.795,122.158,347.0,3.8,1.8,2020-01-28,630,Aqua,MODIS,69,6.0NRT,321.7,206.2,D
601,-36.24,147.695,333.9,2.5,1.5,2020-01-01,330,Aqua,MODIS,59,6.0NRT,308.3,68.3,D
17747,-32.701,150.081,333.2,1.1,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,300.8,31.9,N
10079,-29.075,150.791,325.2,1.0,1.0,2020-01-03,1245,Terra,MODIS,100,6.0NRT,298.5,19.6,N
32360,-36.744,149.405,401.3,2.4,1.5,2020-01-26,325,Aqua,MODIS,100,6.0NRT,309.2,918.8,D
10433,-37.433,148.509,317.0,1.2,1.1,2020-01-03,1245,Terra,MODIS,94,6.0NRT,293.4,20.7,N
30410,-36.474,149.984,395.2,1.2,1.1,2020-01-15,345,Aqua,MODIS,100,6.0NRT,299.9,289.7,D
17114,-35.894,147.858,327.6,1.9,1.3,2020-01-04,1325,Terra,MODIS,69,6.0NRT,277.8,60.0,N
14414,-35.86,150.12,333.6,1.0,1.0,2020-01-04,400,Aqua,MODIS,78,6.0NRT,299.1,24.3,D
33443,-36.045,149.466,337.1,1.0,1.0,2020-01-29,355,Aqua,MODIS,84,6.0NRT,301.4,29.5,D
18465,-37.158,149.831,343.9,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,292.4,0.0,N
21391,-41.611,147.833,306.8,1.3,1.1,2020-01-06,1455,Aqua,MODIS,54,6.0NRT,283.4,14.3,N
20885,-32.224,123.305,342.4,1.1,1.1,2020-01-06,530,Aqua,MODIS,63,6.0NRT,327.1,21.7,D
984,-30.941,123.554,417.1,2.0,1.4,2020-01-01,510,Aqua,MODIS,100,6.0NRT,325.9,931.2,D
13977,-36.763,145.598,392.1,1.2,1.1,2020-01-04,400,Aqua,MODIS,100,6.0NRT,323.4,243.0,D
14152,-36.115,149.473,376.9,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,313.8,125.8,D
16577,-37.208,149.975,369.3,2.3,1.5,2020-01-04,1325,Terra,MODIS,100,6.0NRT,284.6,0.0,N
19012,-37.253,149.2,399.7,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,294.7,262.8,N
32766,-35.903,148.859,352.0,1.1,1.0,2020-01-27,410,Aqua,MODIS,93,6.0NRT,317.0,47.9,D
13971,-36.493,147.738,422.2,1.0,1.0,2020-01-04,400,Aqua,MODIS,84,6.0NRT,400.1,411.1,D
1008,-30.894,123.501,347.0,2.0,1.4,2020-01-01,510,Aqua,MODIS,79,6.0NRT,317.7,84.4,D
5880,-32.442,123.598,390.3,1.3,1.1,2020-01-02,555,Aqua,MODIS,100,6.0NRT,318.9,253.0,D
22021,-32.785,124.051,388.2,2.5,1.5,2020-01-07,615,Aqua,MODIS,100,6.0NRT,320.0,666.9,D
5243,-35.9,147.67,341.6,1.1,1.0,2020-01-02,415,Aqua,MODIS,88,6.0NRT,301.3,42.2,D
31737,-36.185,149.403,305.8,2.4,1.5,2020-01-23,1220,Terra,MODIS,66,6.0NRT,285.4,31.0,N
21922,-35.712,137.274,375.3,1.2,1.1,2020-01-07,435,Aqua,MODIS,100,6.0NRT,308.1,161.0,D
9899,-32.697,150.083,327.6,1.0,1.0,2020-01-03,1245,Terra,MODIS,100,6.0NRT,298.6,22.0,N
277,-31.987,121.524,335.7,2.3,1.5,2020-01-01,230,Terra,MODIS,80,6.0NRT,312.7,62.0,D
3024,-32.519,121.939,361.8,1.0,1.0,2020-01-01,1435,Terra,MODIS,100,6.0NRT,305.2,91.6,N
30798,-16.81,137.171,339.4,1.0,1.0,2020-01-16,430,Aqua,MODIS,69,6.0NRT,314.5,11.8,D
20473,-31.07,123.826,304.1,1.5,1.2,2020-01-05,1410,Terra,MODIS,58,6.0NRT,291.9,12.0,N
27307,-16.224,143.968,326.3,2.8,1.6,2020-01-13,115,Terra,MODIS,72,6.0NRT,296.4,57.0,D
20494,-24.88,147.764,303.2,1.5,1.2,2020-01-05,1545,Aqua,MODIS,54,6.0NRT,292.8,8.6,N
6271,-31.027,123.75,357.2,1.4,1.2,2020-01-02,555,Aqua,MODIS,98,6.0NRT,304.4,93.6,D
9659,-35.787,148.023,321.8,1.3,1.1,2020-01-03,1245,Terra,MODIS,100,6.0NRT,294.0,26.8,N
16021,-32.576,150.39,340.1,1.1,1.1,2020-01-04,405,Aqua,MODIS,61,6.0NRT,314.1,23.5,D
3213,-32.538,121.932,342.2,1.0,1.0,2020-01-01,1435,Terra,MODIS,100,6.0NRT,303.1,47.1,N
13609,-36.899,146.651,459.4,1.1,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,338.7,930.6,D
24910,-32.711,150.047,304.7,1.0,1.0,2020-01-10,1250,Terra,MODIS,61,6.0NRT,274.8,6.3,N
28768,-16.772,129.692,331.8,2.8,1.6,2020-01-13,1325,Terra,MODIS,100,6.0NRT,289.9,126.3,N
17496,-31.511,151.242,321.5,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,296.4,17.2,N
30767,-36.335,147.701,341.7,1.5,1.2,2020-01-16,425,Aqua,MODIS,88,6.0NRT,306.5,62.8,D
27642,-37.32,149.386,360.5,1.0,1.0,2020-01-13,355,Aqua,MODIS,100,6.0NRT,299.7,82.7,D
12808,-37.23,147.078,395.0,1.1,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,297.0,0.0,D
27052,-33.127,122.133,313.8,1.6,1.3,2020-01-12,1420,Terra,MODIS,88,6.0NRT,292.8,24.6,N
12662,-37.139,148.381,372.0,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,301.5,110.8,D
33560,-35.572,148.892,400.8,1.0,1.0,2020-01-29,355,Aqua,MODIS,100,6.0NRT,309.6,258.2,D
16047,-32.207,151.347,347.9,1.3,1.1,2020-01-04,405,Aqua,MODIS,81,6.0NRT,312.5,52.6,D
12686,-37.132,148.298,335.0,1.0,1.0,2020-01-04,400,Aqua,MODIS,75,6.0NRT,299.9,21.7,D
24055,-41.746,148.011,340.1,1.1,1.0,2020-01-09,420,Aqua,MODIS,89,6.0NRT,299.6,40.4,D
18567,-37.135,149.446,472.4,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,307.0,0.0,N
34505,-36.348,149.546,326.9,1.9,1.3,2020-01-30,1225,Terra,MODIS,100,6.0NRT,293.2,61.5,N
12092,-37.507,149.263,344.2,1.3,1.1,2020-01-03,2345,Terra,MODIS,91,6.0NRT,308.7,63.9,D
11286,-33.901,150.43,345.1,1.4,1.2,2020-01-03,2345,Terra,MODIS,89,6.0NRT,307.8,56.3,D
1368,-35.276,147.882,313.8,1.0,1.0,2020-01-01,1255,Terra,MODIS,88,6.0NRT,294.7,11.9,N
474,-32.684,150.855,339.5,1.4,1.2,2020-01-01,330,Aqua,MODIS,84,6.0NRT,306.6,47.0,D
6250,-31.035,123.827,333.7,1.4,1.2,2020-01-02,555,Aqua,MODIS,65,6.0NRT,305.5,23.5,D
1790,-37.583,148.935,350.3,1.0,1.0,2020-01-01,1255,Terra,MODIS,100,6.0NRT,292.7,61.6,N
17104,-35.917,147.931,367.5,1.9,1.3,2020-01-04,1325,Terra,MODIS,100,6.0NRT,290.9,265.1,N
21909,-35.798,136.874,373.0,1.3,1.1,2020-01-07,435,Aqua,MODIS,100,6.0NRT,309.6,156.8,D
6994,-36.556,149.865,311.9,1.1,1.0,2020-01-02,1515,Aqua,MODIS,69,6.0NRT,287.9,12.7,N
19348,-37.434,149.77,346.7,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,283.4,53.0,N
25240,-37.397,149.398,320.3,1.1,1.0,2020-01-11,410,Aqua,MODIS,62,6.0NRT,292.4,15.1,D
481,-32.709,150.92,340.9,1.4,1.2,2020-01-01,330,Aqua,MODIS,86,6.0NRT,306.2,50.1,D
12219,-37.358,147.67,339.5,1.6,1.3,2020-01-03,2345,Terra,MODIS,74,6.0NRT,307.1,58.6,D
4324,-32.402,123.185,348.0,1.3,1.1,2020-01-02,135,Terra,MODIS,81,6.0NRT,291.5,69.9,D
17035,-36.375,147.785,359.7,1.8,1.3,2020-01-04,1325,Terra,MODIS,100,6.0NRT,296.5,193.8,N
15370,-35.472,148.074,436.2,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,339.4,516.6,D
27781,-37.063,149.598,328.8,1.0,1.0,2020-01-13,355,Aqua,MODIS,81,6.0NRT,301.4,18.7,D
4054,-35.672,148.218,337.5,1.2,1.1,2020-01-02,0,Terra,MODIS,84,6.0NRT,297.9,42.8,D
30623,-37.158,147.5,328.5,1.0,1.0,2020-01-16,10,Terra,MODIS,74,6.0NRT,294.9,20.3,D
11255,-32.65,150.146,330.8,1.5,1.2,2020-01-03,2345,Terra,MODIS,51,6.0NRT,308.9,26.2,D
34811,-35.519,148.983,318.4,2.0,1.4,2020-01-30,1540,Aqua,MODIS,97,6.0NRT,294.8,41.8,N
2414,-36.408,147.928,341.0,1.0,1.0,2020-01-01,1255,Terra,MODIS,100,6.0NRT,292.0,46.6,N
2682,-35.876,147.582,319.0,1.0,1.0,2020-01-01,1255,Terra,MODIS,98,6.0NRT,291.5,17.0,N
26981,-37.227,149.888,320.7,1.3,1.1,2020-01-12,1240,Terra,MODIS,100,6.0NRT,286.2,28.2,N
21231,-32.236,123.369,367.9,1.1,1.1,2020-01-06,530,Aqua,MODIS,83,6.0NRT,330.3,102.4,D
13141,-37.071,147.237,410.1,1.1,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,332.4,327.1,D
25056,-37.09,149.446,333.6,1.1,1.1,2020-01-10,2355,Terra,MODIS,67,6.0NRT,294.2,34.8,D
23167,-32.721,122.327,369.1,3.4,1.7,2020-01-08,240,Terra,MODIS,100,6.0NRT,308.5,581.4,D
31885,-36.763,149.456,320.4,1.6,1.2,2020-01-24,340,Aqua,MODIS,71,6.0NRT,291.6,29.6,D
2182,-37.363,147.644,307.8,1.0,1.0,2020-01-01,1255,Terra,MODIS,73,6.0NRT,283.4,10.6,N
21147,-32.447,123.142,406.1,1.2,1.1,2020-01-06,530,Aqua,MODIS,100,6.0NRT,330.8,339.3,D
129,-35.77,141.337,411.8,1.3,1.1,2020-01-01,55,Terra,MODIS,100,6.0NRT,318.8,468.4,D
4779,-37.681,147.619,348.7,1.0,1.0,2020-01-02,415,Aqua,MODIS,94,6.0NRT,300.7,53.5,D
