,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
28643,-37.447,149.255,318.0,1.7,1.3,2020-01-13,1320,Terra,MODIS,96,6.0NRT,289.7,31.8,N
7061,-36.477,147.71,311.0,1.0,1.0,2020-01-02,1515,Aqua,MODIS,62,6.0NRT,283.0,11.7,N
17657,-32.617,150.71,314.3,1.0,1.0,2020-01-04,1505,Aqua,MODIS,87,6.0NRT,298.4,9.3,N
21724,-32.649,122.053,362.7,1.0,1.0,2020-01-07,155,Terra,MODIS,100,6.0NRT,314.1,64.1,D
8982,-35.843,136.76,417.4,1.1,1.0,2020-01-03,500,Aqua,MODIS,100,6.0NRT,335.0,375.1,D
1067,-28.93,128.739,358.3,1.0,1.0,2020-01-01,510,Aqua,MODIS,98,6.0NRT,321.2,52.0,D
4507,-33.204,150.172,332.1,1.6,1.2,2020-01-02,415,Aqua,MODIS,63,6.0NRT,309.1,28.4,D
26123,-19.879,144.172,320.0,3.1,1.7,2020-01-11,1340,Terra,MODIS,100,6.0NRT,292.3,71.1,N
30867,-14.243,136.825,330.2,1.9,1.3,2020-01-17,50,Terra,MODIS,78,6.0NRT,299.7,34.2,D
9804,-34.341,150.062,318.0,1.0,1.0,2020-01-03,1245,Terra,MODIS,96,6.0NRT,296.1,14.5,N
16009,-32.661,150.13,358.2,1.1,1.1,2020-01-04,405,Aqua,MODIS,85,6.0NRT,313.5,68.7,D
26858,-31.17,149.228,319.0,1.2,1.1,2020-01-12,1240,Terra,MODIS,88,6.0NRT,287.5,19.1,N
8788,-36.087,148.43,334.7,4.7,2.0,2020-01-03,455,Aqua,MODIS,80,6.0NRT,301.5,292.9,D
5683,-32.944,123.741,410.1,1.3,1.1,2020-01-02,555,Aqua,MODIS,100,6.0NRT,300.9,431.8,D
33510,-35.873,148.901,324.6,1.0,1.0,2020-01-29,355,Aqua,MODIS,54,6.0NRT,310.2,10.5,D
26754,-36.748,146.716,309.2,1.9,1.3,2020-01-12,1240,Terra,MODIS,77,6.0NRT,288.3,25.8,N
2840,-18.531,143.814,312.0,1.0,1.0,2020-01-01,1300,Terra,MODIS,83,6.0NRT,295.6,8.2,N
29391,-36.84,148.178,317.0,1.2,1.1,2020-01-14,25,Terra,MODIS,72,6.0NRT,293.3,16.6,D
15398,-35.456,148.063,452.1,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,400.1,0.0,D
15410,-35.439,148.117,377.6,1.0,1.0,2020-01-04,400,Aqua,MODIS,87,6.0NRT,298.4,121.1,D
32748,-36.014,149.318,347.7,1.1,1.0,2020-01-27,410,Aqua,MODIS,77,6.0NRT,286.9,55.1,D
3958,-34.829,150.327,327.8,1.0,1.0,2020-01-02,0,Terra,MODIS,63,6.0NRT,296.1,17.9,D
30393,-37.066,149.579,321.3,1.3,1.1,2020-01-15,345,Aqua,MODIS,63,6.0NRT,299.9,14.7,D
19837,-32.591,150.682,344.4,1.8,1.3,2020-01-05,30,Terra,MODIS,89,6.0NRT,303.2,96.4,D
26720,-36.828,148.083,313.3,1.6,1.2,2020-01-12,1240,Terra,MODIS,53,6.0NRT,284.0,25.0,N
5301,-35.848,147.651,365.0,1.1,1.0,2020-01-02,415,Aqua,MODIS,100,6.0NRT,304.2,102.5,D
12944,-37.251,146.529,399.8,1.1,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,312.1,278.6,D
19893,-21.856,119.453,342.1,1.2,1.1,2020-01-05,205,Terra,MODIS,89,6.0NRT,305.0,40.7,D
8452,-37.134,148.058,331.8,3.8,1.8,2020-01-03,320,Aqua,MODIS,55,6.0NRT,299.5,170.7,D
15497,-25.43,149.176,344.8,1.2,1.1,2020-01-04,405,Aqua,MODIS,86,6.0NRT,315.8,40.0,D
